"County","State","Outbreak Date","Flock Type","Flock_Size"
"Beadle","South Dakota","11-22-2022","Commercial Turkey Meat Bird","29200"
"Webster","Missouri","11-22-2022","WOAH Poultry","9100"
"Maricopa","Arizona","11-21-2024","WOAH Non-Poultry","490"
"Roger Mills","Oklahoma","11-21-2024","WOAH Non-Poultry","0"
"Madera","California","11-21-2024","WOAH Non-Poultry","0"
"Salt Lake","Utah","11-21-2024","WOAH Non-Poultry","30"
"Tulare","California","11-21-2024","Commercial Duck Meat Bird","96900"
"Lemhi","Idaho","11-21-2024","WOAH Non-Poultry","20"
"Piute","Utah","11-21-2024","Commercial Turkey Meat Bird","35500"
"Clark","South Dakota","11-21-2023","Commercial Turkey Meat Bird","23600"
"Caroline","Maryland","11-21-2023","Commercial Broiler Production","192900"
"Clark","South Dakota","11-21-2023","Commercial Turkey Meat Bird","57400"
"Grimes","Texas","11-21-2023","WOAH Non-Poultry","60"
"Broward","Florida","11-21-2023","WOAH Non-Poultry","5"
"Union","Ohio","11-21-2023","Commercial Table Egg Layer","1348900"
"Sumter","Georgia","11-21-2023","Commercial Raised for Release Waterfowl","30000"
"Brown","Minnesota","11-21-2023","Commercial Turkey Breeder Hens","6400"
"Big Stone","Minnesota","11-21-2023","Commercial Turkey Meat Bird","78500"
"Beadle","South Dakota","11-21-2023","Commercial Turkey Meat Bird","78200"
"Kandiyohi","Minnesota","11-21-2023","Commercial Breeder Operation","8400"
"Kingsbury","South Dakota","11-21-2023","Commercial Turkey Meat Bird","28800"
"Washington","Maine","11-21-2022","WOAH Non-Poultry","90"
"Edmunds","South Dakota","11-21-2022","Commercial Turkey Meat Bird","34400"
"Kern","California","11-20-2024","Commercial Table Egg Layer","1022400"
"Marin","California","11-20-2024","Commercial Duck Meat Bird","6500"
"Matanuska Susitna","Alaska","11-20-2024","WOAH Non-Poultry","40"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Breeder Replacement Hens","30100"
"San Juan","New Mexico","11-20-2023","WOAH Non-Poultry","20"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Breeder Hens","19200"
"Walworth","South Dakota","11-20-2023","WOAH Non-Poultry","0"
"Day","South Dakota","11-20-2023","WOAH Poultry","60"
"Swift","Minnesota","11-20-2023","Commercial Turkey Meat Bird","134300"
"Fresno","California","11-20-2023","Commercial Duck Breeder","23400"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Meat Bird","33400"
"Taylor","Wisconsin","11-20-2023","WOAH Non-Poultry","8"
"Henry","Illinois","11-19-2024","WOAH Poultry","5600"
"Lake","South Dakota","11-19-2024","WOAH Non-Poultry","20"
"Whatcom","Washington","11-19-2024","WOAH Non-Poultry","40"
