"Geographic Area","April 1, 2020 Estimates Base","2020","2021","2022","2023"
" Candler County, Georgia","10,988","11,022","10,947","10,962","11,059"
" Carroll County, Georgia","119,151","119,498","121,595","124,530","127,098"
" Catoosa County, Georgia","67,874","68,006","68,436","68,836","68,910"
" Charlton County, Georgia","12,516","12,534","12,820","12,788","12,934"
" Chatham County, Georgia","295,291","295,089","295,690","301,025","303,655"
" Chattahoochee County, Georgia","9,566","9,475","9,044","8,746","8,661"
" Chattooga County, Georgia","24,970","24,925","24,844","24,962","25,222"
" Cherokee County, Georgia","266,594","268,156","274,732","281,194","286,602"
" Clarke County, Georgia","128,670","128,551","129,206","129,726","129,933"
" Clay County, Georgia","2,845","2,828","2,867","2,853","2,853"
" Clayton County, Georgia","299,403","299,439","299,210","298,399","298,300"
" Clinch County, Georgia","6,741","6,720","6,702","6,679","6,746"
" Cobb County, Georgia","766,112","766,378","766,662","771,840","776,743"
" Coffee County, Georgia","43,092","43,060","43,046","43,247","43,317"
" Colquitt County, Georgia","45,892","45,891","45,763","45,830","46,167"
" Columbia County, Georgia","156,013","156,865","159,662","162,471","165,162"
" Cook County, Georgia","17,232","17,236","17,262","17,409","17,714"
" Coweta County, Georgia","146,163","146,747","149,973","152,879","155,892"
" Crawford County, Georgia","12,128","12,103","12,139","12,169","12,277"
" Crisp County, Georgia","20,128","20,053","20,000","19,729","19,631"
" Dade County, Georgia","16,249","16,239","16,221","16,090","16,165"
" Dawson County, Georgia","26,796","27,059","28,498","30,189","31,732"
" Decatur County, Georgia","29,368","29,326","29,091","29,019","29,087"
" DeKalb County, Georgia","764,425","764,489","759,113","761,779","762,992"
" Dodge County, Georgia","20,001","19,949","19,734","19,873","19,776"
" Dooly County, Georgia","11,209","11,156","10,869","10,585","10,981"
" Dougherty County, Georgia","85,793","85,155","82,235","82,895","82,645"
" Douglas County, Georgia","144,310","144,648","145,748","147,453","149,160"
" Early County, Georgia","10,849","10,794","10,635","10,560","10,563"
" Echols County, Georgia","3,704","3,721","3,698","3,686","3,709"
" Effingham County, Georgia","64,771","65,169","66,764","69,034","71,541"
" Elbert County, Georgia","19,638","19,668","19,571","19,873","20,013"
" Emanuel County, Georgia","22,770","22,893","22,899","22,946","23,119"
" Evans County, Georgia","10,773","10,792","10,697","10,659","10,754"
" Fannin County, Georgia","25,321","25,436","25,797","25,733","25,955"
" Fayette County, Georgia","119,181","119,491","120,715","121,981","123,351"
" Floyd County, Georgia","98,582","98,583","98,487","99,437","100,113"
" Forsyth County, Georgia","251,287","252,901","260,783","267,312","272,887"
" Franklin County, Georgia","23,424","23,471","23,510","24,146","24,782"
" Fulton County, Georgia","1,066,675","1,069,394","1,062,451","1,073,698","1,079,105"
" Gilmer County, Georgia","31,349","31,427","32,106","32,403","32,860"
" Glascock County, Georgia","2,887","2,899","2,901","2,928","2,954"
" Glynn County, Georgia","84,500","84,482","84,786","85,145","86,172"
" Gordon County, Georgia","57,544","57,722","58,239","58,855","59,757"
" Grady County, Georgia","26,236","26,224","25,850","25,994","26,066"
" Greene County, Georgia","18,913","19,028","19,544","20,111","20,722"
" Gwinnett County, Georgia","957,306","958,359","965,338","976,173","983,526"
" Habersham County, Georgia","46,034","46,142","46,748","47,465","48,757"
" Hall County, Georgia","202,889","203,473","207,080","212,621","217,267"
" Hancock County, Georgia","8,736","8,711","8,677","8,417","8,676"
" Haralson County, Georgia","29,917","30,036","30,595","31,355","32,038"
" Harris County, Georgia","34,666","34,898","35,589","36,257","36,654"
" Hart County, Georgia","25,829","25,878","26,319","26,886","27,556"
" Heard County, Georgia","11,409","11,444","11,532","11,716","12,034"
" Henry County, Georgia","240,703","241,852","245,085","248,472","254,613"
" Houston County, Georgia","163,642","164,356","167,228","169,775","171,974"
" Irwin County, Georgia","9,663","9,647","9,369","9,114","9,120"
" Jackson County, Georgia","75,912","76,731","80,374","84,009","88,615"
" Jasper County, Georgia","14,590","14,662","15,263","15,979","16,455"
" Jeff Davis County, Georgia","14,777","14,800","14,860","14,891","14,906"
" Jefferson County, Georgia","15,710","15,676","15,476","15,294","15,183"
" Jenkins County, Georgia","8,676","8,663","8,764","8,655","8,627"
" Johnson County, Georgia","9,188","9,183","8,999","9,211","9,282"
" Jones County, Georgia","28,353","28,402","28,406","28,512","28,969"
" Lamar County, Georgia","18,498","18,549","18,697","19,473","20,401"
" Lanier County, Georgia","9,883","9,929","10,051","10,177","10,452"
" Laurens County, Georgia","49,570","49,535","49,524","49,710","49,941"
" Lee County, Georgia","33,164","33,222","33,209","33,678","33,872"
" Liberty County, Georgia","65,271","65,317","66,800","67,919","69,210"
" Lincoln County, Georgia","7,689","7,702","7,749","7,859","7,879"
" Long County, Georgia","16,158","16,270","17,108","18,395","19,594"
" Lowndes County, Georgia","118,247","118,416","118,916","119,499","120,712"
" Lumpkin County, Georgia","33,488","33,641","32,843","34,706","35,258"
" McDuffie County, Georgia","21,628","21,607","21,619","21,690","21,799"
" McIntosh County, Georgia","10,973","10,985","11,054","11,183","11,501"
" Macon County, Georgia","12,080","12,021","11,852","11,777","11,817"
" Madison County, Georgia","30,128","30,276","30,887","31,450","32,191"
" Marion County, Georgia","7,505","7,530","7,434","7,436","7,440"
" Meriwether County, Georgia","20,620","20,617","20,725","20,890","20,931"
" Miller County, Georgia","6,000","5,992","5,853","5,774","5,747"
" Mitchell County, Georgia","21,763","21,671","21,318","21,192","21,114"
" Monroe County, Georgia","27,956","28,057","28,753","29,469","30,625"
" Montgomery County, Georgia","8,610","8,576","8,646","8,643","8,761"
" Morgan County, Georgia","20,097","20,201","20,650","21,024","21,460"
" Murray County, Georgia","39,976","40,012","39,975","40,410","41,035"
" Muscogee County, Georgia","206,919","207,006","205,060","202,432","201,877"
" Newton County, Georgia","112,527","112,890","115,341","117,752","120,135"
" Oconee County, Georgia","41,798","42,016","43,034","43,624","44,182"
" Oglethorpe County, Georgia","14,826","14,869","15,187","15,531","15,754"
" Paulding County, Georgia","168,666","169,580","173,989","178,753","183,164"
" Peach County, Georgia","27,986","28,036","28,245","28,486","28,805"
" Pickens County, Georgia","33,212","33,337","34,021","34,825","35,969"
" Pierce County, Georgia","19,715","19,747","19,975","20,190","20,425"
" Pike County, Georgia","18,889","18,946","19,540","19,955","20,461"
" Polk County, Georgia","42,851","42,924","43,316","43,669","44,223"
" Pulaski County, Georgia","9,854","9,870","9,570","9,963","10,095"
" Putnam County, Georgia","22,049","22,170","22,614","22,933","23,129"
" Quitman County, Georgia","2,237","2,227","2,242","2,259","2,280"
" Rabun County, Georgia","16,878","16,912","17,120","17,267","17,442"
" Randolph County, Georgia","6,421","6,368","6,263","6,126","6,078"
" Richmond County, Georgia","206,603","206,524","205,274","206,344","205,414"
" Rockdale County, Georgia","93,513","93,611","93,888","94,945","95,987"
" Schley County, Georgia","4,548","4,536","4,486","4,497","4,526"
" Screven County, Georgia","14,065","14,077","14,062","13,970","14,174"
" Seminole County, Georgia","9,152","9,133","9,162","9,144","9,092"
" Spalding County, Georgia","67,312","67,471","67,765","69,008","69,946"
" Stephens County, Georgia","26,779","26,818","26,765","26,746","27,228"
" Stewart County, Georgia","5,314","5,303","4,915","4,604","4,674"
" Sumter County, Georgia","29,615","29,520","28,981","28,864","28,890"
" Talbot County, Georgia","5,735","5,726","5,755","5,757","5,718"
" Taliaferro County, Georgia","1,559","1,559","1,569","1,608","1,609"
" Tattnall County, Georgia","24,284","24,321","24,092","23,988","24,296"
" Taylor County, Georgia","7,814","7,818","7,769","7,762","7,758"
" Telfair County, Georgia","12,476","12,465","12,317","12,378","10,920"
" Terrell County, Georgia","9,184","9,140","8,924","8,792","8,718"
" Thomas County, Georgia","45,791","45,775","45,818","45,551","45,649"
" Tift County, Georgia","41,357","41,387","41,082","41,335","41,554"
" Toombs County, Georgia","27,026","27,078","26,847","26,813","27,040"
" Towns County, Georgia","12,488","12,547","12,880","12,961","13,035"
" Treutlen County, Georgia","6,401","6,397","6,365","6,359","6,341"
" Troup County, Georgia","69,426","69,333","69,518","70,247","70,742"
" Turner County, Georgia","9,003","8,986","8,919","8,836","8,909"
" Twiggs County, Georgia","8,024","8,013","7,881","7,676","7,691"
" Union County, Georgia","24,628","24,802","25,552","26,390","27,124"
" Upson County, Georgia","27,700","27,745","27,689","28,093","28,263"
" Walker County, Georgia","67,653","67,738","68,417","68,965","69,489"
" Walton County, Georgia","96,664","97,158","99,814","103,064","106,702"
" Ware County, Georgia","36,247","36,229","35,545","35,597","36,243"
" Warren County, Georgia","5,210","5,207","5,208","5,157","5,106"
" Washington County, Georgia","19,994","19,952","19,758","19,765","19,820"
" Wayne County, Georgia","30,139","30,142","30,220","30,737","31,373"
" Webster County, Georgia","2,348","2,351","2,362","2,337","2,337"
" Wheeler County, Georgia","7,480","7,449","7,737","7,310","7,081"
" White County, Georgia","27,997","28,108","28,389","28,804","29,026"
" Whitfield County, Georgia","102,867","102,784","102,712","103,095","103,687"
" Wilcox County, Georgia","8,764","8,787","8,737","8,751","8,779"
" Wilkes County, Georgia","9,562","9,552","9,489","9,565","9,518"
" Wilkinson County, Georgia","8,875","8,833","8,786","8,677","8,725"
" Worth County, Georgia","20,774","20,732","20,565","20,431","20,273"
" Hawaii County, Hawaii","200,635","200,744","203,875","206,348","207,615"
" Honolulu County, Hawaii","1,016,507","1,012,399","1,004,163","994,828","989,408"
" Kalawao County, Hawaii","80","80","81","81","81"
" Kauai County, Hawaii","73,296","73,190","73,829","73,783","73,851"
" Maui County, Hawaii","164,756","164,768","164,797","164,359","164,183"
" Ada County, Idaho","494,961","498,278","513,025","519,004","524,673"
" Adams County, Idaho","4,382","4,428","4,623","4,791","4,903"
" Bannock County, Idaho","87,019","87,276","88,515","89,625","90,400"
" Bear Lake County, Idaho","6,370","6,367","6,567","6,730","6,766"
" Benewah County, Idaho","9,531","9,576","9,895","10,291","10,369"
" Bingham County, Idaho","47,983","48,097","48,929","49,973","50,395"
" Blaine County, Idaho","24,278","24,348","24,782","24,901","25,041"
" Boise County, Idaho","7,614","7,664","8,133","8,360","8,517"
" Bonner County, Idaho","47,103","47,403","49,633","51,407","52,547"
" Bonneville County, Idaho","123,964","124,737","128,064","129,543","131,366"
" Boundary County, Idaho","12,057","12,139","12,620","13,272","13,557"
" Butte County, Idaho","2,576","2,584","2,666","2,698","2,758"
" Camas County, Idaho","1,074","1,084","1,137","1,169","1,232"
" Canyon County, Idaho","231,102","233,013","243,710","250,892","257,674"
" Caribou County, Idaho","7,027","7,013","7,109","7,200","7,219"
" Cassia County, Idaho","24,692","24,760","25,244","25,644","25,696"
" Clark County, Idaho","789","792","793","810","801"
" Clearwater County, Idaho","8,728","8,750","8,925","9,035","9,214"
" Custer County, Idaho","4,279","4,271","4,446","4,518","4,523"
" Elmore County, Idaho","28,665","28,669","28,978","29,391","29,724"
" Franklin County, Idaho","14,194","14,282","14,670","15,170","15,494"
" Fremont County, Idaho","13,387","13,419","13,591","14,017","14,196"
" Gem County, Idaho","19,122","19,272","19,802","20,454","21,071"
" Gooding County, Idaho","15,601","15,649","15,793","15,879","16,061"
" Idaho County, Idaho","16,547","16,594","17,059","17,637","17,890"
" Jefferson County, Idaho","30,890","31,080","32,201","33,336","34,198"
" Jerome County, Idaho","24,242","24,270","24,738","25,244","25,479"
" Kootenai County, Idaho","171,363","172,785","180,058","183,290","185,010"
" Latah County, Idaho","39,523","39,638","40,400","40,924","41,301"
" Lemhi County, Idaho","7,979","7,962","8,160","8,284","8,441"
" Lewis County, Idaho","3,526","3,527","3,690","3,725","3,739"
" Lincoln County, Idaho","5,127","5,134","5,285","5,385","5,450"
" Madison County, Idaho","52,913","52,928","54,092","54,958","54,547"
" Minidoka County, Idaho","21,582","21,668","21,944","22,208","22,480"
" Nez Perce County, Idaho","42,091","42,145","42,500","42,909","42,987"
" Oneida County, Idaho","4,566","4,566","4,605","4,740","4,953"
" Owyhee County, Idaho","11,915","11,996","12,356","12,645","12,722"
" Payette County, Idaho","25,389","25,590","26,386","26,929","27,279"
" Power County, Idaho","7,876","7,879","7,975","8,136","8,253"
" Shoshone County, Idaho","13,168","13,199","13,615","13,935","14,026"
" Teton County, Idaho","11,631","11,735","12,273","12,519","12,549"
" Twin Falls County, Idaho","90,049","90,372","92,394","93,821","95,156"
" Valley County, Idaho","11,744","11,842","12,256","12,450","12,644"
" Washington County, Idaho","10,498","10,558","10,900","11,147","11,425"
" Adams County, Illinois","65,729","65,614","65,064","64,556","64,441"
" Alexander County, Illinois","5,239","5,169","5,025","4,841","4,695"
" Bond County, Illinois","16,725","16,684","16,623","16,536","16,450"
" Boone County, Illinois","53,451","53,343","53,173","53,068","53,202"
" Brown County, Illinois","6,240","6,227","6,432","6,316","6,294"
" Bureau County, Illinois","33,243","33,191","32,959","32,827","32,729"
" Calhoun County, Illinois","4,438","4,407","4,395","4,353","4,317"
" Carroll County, Illinois","15,707","15,672","15,702","15,579","15,526"
" Cass County, Illinois","13,049","12,991","12,790","12,638","12,596"
" Champaign County, Illinois","205,873","205,654","206,605","206,169","205,644"
" Christian County, Illinois","34,039","33,960","33,703","33,390","33,228"
" Clark County, Illinois","15,463","15,429","15,352","15,160","15,088"
" Clay County, Illinois","13,289","13,273","13,163","13,077","12,999"
" Clinton County, Illinois","36,893","36,901","36,882","36,937","36,785"
