"Geographic Area","April 1, 2020 Estimates Base","2020","2021","2022","2023"
" Kiowa County, Colorado","1,448","1,455","1,454","1,434","1,384"
" Kit Carson County, Colorado","7,081","7,062","6,927","6,983","6,994"
" Lake County, Colorado","7,432","7,408","7,395","7,346","7,365"
" La Plata County, Colorado","55,637","55,673","56,169","56,553","56,407"
" Larimer County, Colorado","359,074","359,923","362,747","367,577","370,771"
" Las Animas County, Colorado","14,559","14,490","14,334","14,311","14,348"
" Lincoln County, Colorado","5,674","5,662","5,473","5,510","5,480"
" Logan County, Colorado","21,536","21,210","21,006","20,792","20,619"
" Mesa County, Colorado","155,706","156,011","157,439","158,531","159,681"
" Mineral County, Colorado","868","874","929","931","944"
" Moffat County, Colorado","13,295","13,269","13,165","13,205","13,327"
" Montezuma County, Colorado","25,849","25,887","26,234","26,467","26,531"
" Montrose County, Colorado","42,677","42,818","43,236","43,807","44,156"
" Morgan County, Colorado","29,108","29,076","29,006","29,266","29,524"
" Otero County, Colorado","18,687","18,664","18,527","18,311","18,136"
" Ouray County, Colorado","4,880","4,882","5,063","5,103","5,176"
" Park County, Colorado","17,392","17,418","17,744","17,921","18,117"
" Phillips County, Colorado","4,533","4,527","4,502","4,448","4,476"
" Pitkin County, Colorado","17,358","17,355","17,337","16,847","16,640"
" Prowers County, Colorado","12,001","12,017","11,990","11,873","11,751"
" Pueblo County, Colorado","168,165","168,337","169,316","169,472","169,422"
" Rio Blanco County, Colorado","6,526","6,520","6,442","6,549","6,569"
" Rio Grande County, Colorado","11,541","11,541","11,406","11,337","11,188"
" Routt County, Colorado","24,825","24,832","25,058","25,072","25,064"
" Saguache County, Colorado","6,368","6,389","6,511","6,627","6,688"
" San Juan County, Colorado","704","711","741","806","802"
" San Miguel County, Colorado","8,070","8,054","8,080","8,008","7,868"
" Sedgwick County, Colorado","2,401","2,389","2,326","2,286","2,299"
" Summit County, Colorado","31,055","31,001","30,998","30,636","30,465"
